Year,Storm,Province,intensification_rate_kt_per_day,is_intensifying,max_wind_in_track_kt,min_pressure_in_track_hpa,pressure_at_closest_hpa,wind_at_closest_approach_kt,wind_change_approaching_kt
2010,Agaton,Abra,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Agusan del Norte,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Agusan del Sur,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Aklan,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Albay,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Antique,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Apayao,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Aurora,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Basilan,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Bataan,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Batanes,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Batangas,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Benguet,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Biliran,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Bohol,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Bukidnon,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Bulacan,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Cagayan,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Camarines Norte,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Camarines Sur,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Camiguin,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Capiz,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Catanduanes,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Cavite,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Cebu,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Cotabato,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Davao Occidental,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Davao Oriental,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Davao de Oro,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Davao del Norte,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Davao del Sur,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Dinagat Islands,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Eastern Samar,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Guimaras,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Ifugao,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Ilocos Norte,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Ilocos Sur,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Iloilo,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Isabela,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Kalinga,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,La Union,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Laguna,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Lanao del Norte,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Lanao del Sur,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Leyte,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Maguindanao del Norte,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Maguindanao del Sur,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Marinduque,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Masbate,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Metro Manila,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Misamis Occidental,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Misamis Oriental,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Mountain Province,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Negros Occidental,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Negros Oriental,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Northern Samar,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Nueva Ecija,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Nueva Vizcaya,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Occidental Mindoro,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Oriental Mindoro,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Palawan,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Pampanga,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Pangasinan,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Quezon,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
2010,Agaton,Quirino,4.693333333333333,1.0,35.0,998.0,1002.0,30.8,17.6
