Year,Storm,Province,Houses destroyed,Houses damaged,Total Houses
2010,Basyang,Bataan,232,2695,2927
2010,Basyang,Batangas,102,1138,1240
2010,Basyang,Camarines Norte,480,7459,7939
2010,Basyang,Camarines Sur,1,119,120
2010,Basyang,Catanduanes,25,544,569
2010,Basyang,Cavite,2558,32735,35293
2010,Basyang,Laguna,1516,8536,10052
2010,Basyang,Metro Manila,62,0,62
2010,Basyang,Quezon,133,1764,1897
2010,Basyang,Rizal,2269,10917,13186
2010,Basyang,Zambales,0,1,1
2010,Juan,Abra,3,209,212
2010,Juan,Apayao,58,1089,1147
2010,Juan,Aurora,0,9,9
2010,Juan,Bataan,2,20,22
2010,Juan,Benguet,20,284,304
2010,Juan,Cagayan,1048,14737,15785
2010,Juan,Ifugao,69,322,391
2010,Juan,Ilocos Norte,0,85,85
2010,Juan,Ilocos Sur,12,225,237
2010,Juan,Isabela,25186,72828,98014
2010,Juan,Kalinga,1778,12753,14531
2010,Juan,La Union,545,5560,6105
2010,Juan,Mountain Province,158,1079,1237
2010,Juan,Nueva Ecija,4,22,26
2010,Juan,Nueva Vizcaya,1,36,37
2010,Juan,Pampanga,13,10,23
2010,Juan,Pangasinan,1095,8378,9473
2010,Juan,Quirino,0,23,23
2010,Juan,Tarlac,13,117,130
2010,Juan,Zambales,43,388,431
2011,Bebeng,Bulacan,4,37,41
2011,Bebeng,Camarines Norte,20,868,888
2011,Bebeng,Camarines Sur,12,1080,1092
2011,Bebeng,Eastern Samar,0,45,45
2011,Bebeng,Leyte,1,4,5
2011,Bebeng,Masbate,0,11,11
2011,Bebeng,Northern Samar,9,1364,1373
2011,Bebeng,Samar,18,129,147
2011,Bebeng,Sorsogon,0,6596,6596
2011,Chedeng,Bukidnon,56,43,99
2011,Chedeng,Davao del Norte,27,0,27
2011,Chedeng,Lanao del Sur,0,5,5
2011,Dodong,Batangas,36,300,336
2011,Egay,Zambales,0,5,5
2011,Falcon,Albay,4,25,29
2011,Falcon,Bataan,8,25,33
2011,Falcon,Batangas,36,1035,1071
2011,Falcon,Bulacan,61,33,94
2011,Falcon,Iloilo,25,24,49
2011,Falcon,Metro Manila,0,22,22
2011,Falcon,Pampanga,1,13,14
2011,Falcon,Tarlac,4,7,11
2011,Falcon,Zambales,26,31,57
2011,Juaning,Albay,180,350,530
2011,Juaning,Aurora,64,266,330
2011,Juaning,Batangas,2,200,202
